"Age","ECC","ECC_413k_notched_out","OMEGA","OBL","Prec","EXI","ETP"
92,"0.03570","0.78037","125.02",24285,29,"421.23","0.7867"
93,"0.03626","0.80574","109.41",24281,34,"421.14","0.5844"
94,"0.03682","0.82995","93.75",24256,37,"423.16","0.4584"
95,"0.03736","0.85301","78.06",24212,37,"427.23","0.4211"
96,"0.03790","0.87491","62.32",24147,34,"433.10","0.4826"
97,"0.03842","0.89536","46.53",24065,28,"440.36","0.6378"
98,"0.03894","0.91465","30.67",23964,20,"448.47","0.8735"
99,"0.03943","0.93250","14.74",23849,10,"456.74","1.1618"
100,"0.03991","0.94880","358.73",23719,-1,"464.41","1.4695"
101,"0.04037","0.96376","342.64",23579,-12,"470.73","1.7574"
102,"0.04081","0.97707","326.47",23432,-23,"474.98","1.9897"
103,"0.04123","0.98884","310.20",23280,-31,"476.59","2.1340"
104,"0.04162","0.99887","293.85",23127,-38,"475.23","2.1706"
105,"0.04199","1.00720","277.40",22978,-42,"470.81","2.0808"
106,"0.04234","1.01350","260.86",22836,-42,"463.53","1.8653"
107,"0.04265","1.01810","244.24",22706,-38,"453.91","1.5247"
108,"0.04293","1.02060","227.54",22591,-32,"442.67","1.0805"
109,"0.04318","1.02110","210.78",22494,-22,"430.73","0.5499"
110,"0.04341","1.01930","193.96",22420,-10,"419.06","-0.0251"
111,"0.04359","1.01560","177.10",22370,2,"408.61","-0.6100"
112,"0.04374","1.00940","160.21",22346,15,"400.23","-1.1566"
113,"0.04386","1.00090","143.31",22349,26,"394.61","-1.6226"
114,"0.04394","0.99009","126.41",22380,35,"392.20","-1.9642"
115,"0.04398","0.97678","109.54",22438,41,"393.21","-2.1456"
116,"0.04399","0.96086","92.71",22520,44,"397.60","-2.1407"
117,"0.04395","0.94244","75.93",22625,43,"405.10","-1.9396"
118,"0.04388","0.92131","59.22",22750,38,"415.17","-1.5455"
119,"0.04377","0.89767","42.59",22891,30,"427.07","-0.9874"
120,"0.04362","0.87115","26.04",23043,19,"439.91","-0.3042"
121,"0.04343","0.84191","9.59",23202,7,"452.72","0.4500"
122,"0.04321","0.80998","353.23",23364,-5,"464.51","1.2228"
123,"0.04294","0.77535","336.98",23523,-17,"474.37","1.9540"
124,"0.04264","0.73782","320.82",23676,-27,"481.60","2.6061"
