"Age","ECC","ECC_413k_notched_out","OMEGA","OBL","Prec","EXI","ETP"
927,"0.02704","0.84272","74.06",22799,26,"416.99","-2.7508"
928,"0.02843","0.72011","57.61",22739,24,"421.11","-2.8121"
929,"0.02980","0.59846","41.04",22692,20,"426.99","-2.7447"
930,"0.03115","0.47817","24.38",22661,13,"434.21","-2.5408"
931,"0.03248","0.35922","7.64",22643,4,"442.15","-2.2054"
932,"0.03379","0.24182","350.85",22641,-5,"450.07","-1.7510"
933,"0.03507","0.12615","334.01",22652,-15,"457.15","-1.2110"
934,"0.03632","0.01251","317.15",22678,-25,"462.60","-0.6184"
935,"0.03754","0.09901","300.27",22715,-32,"465.74","-0.0154"
936,"0.03872","0.20831","283.38",22764,-38,"466.11","0.5548"
937,"0.03988","0.31529","266.49",22823,-40,"463.54","1.0479"
938,"0.04100","0.41948","249.62",22891,-38,"458.18","1.4337"
939,"0.04208","0.52096","232.76",22965,-34,"450.47","1.6835"
940,"0.04313","0.61965","215.92",23044,-25,"441.15","1.7909"
941,"0.04414","0.71525","199.10",23127,-14,"431.11","1.7522"
942,"0.04511","0.80757","182.31",23212,-2,"421.33","1.5915"
943,"0.04604","0.89661","165.55",23297,11,"412.78","1.3333"
944,"0.04693","0.98218","148.82",23381,24,"406.30","1.0264"
945,"0.04779","1.06420","132.12",23462,35,"402.59","0.7143"
946,"0.04860","1.14250","115.45",23540,44,"402.11","0.4552"
947,"0.04938","1.21690","98.81",23613,49,"405.08","0.2870"
948,"0.05011","1.28740","82.19",23680,50,"411.44","0.2573"
949,"0.05080","1.35400","65.60",23740,46,"420.86","0.3806"
950,"0.05145","1.41630","49.03",23792,39,"432.75","0.6707"
951,"0.05206","1.47450","32.49",23836,28,"446.25","1.1087"
952,"0.05264","1.52830","15.96",23871,14,"460.32","1.6761"
953,"0.05317","1.57790","359.44",23897,-1,"473.78","2.3267"
954,"0.05366","1.62290","342.94",23912,-16,"485.43","3.0182"
955,"0.05411","1.66350","326.45",23918,-30,"494.15","3.6832"
956,"0.05452","1.69960","309.96",23913,-42,"499.09","4.2759"
957,"0.05489","1.73120","293.48",23898,-50,"499.70","4.7308"
958,"0.05523","1.75800","276.99",23872,-55,"495.86","5.0110"
959,"0.05552","1.78030","260.49",23836,-55,"487.87","5.0763"
960,"0.05578","1.79780","243.99",23791,-50,"476.42","4.9177"
961,"0.05600","1.81080","227.47",23736,-41,"462.52","4.5322"
962,"0.05618","1.81910","210.94",23673,-29,"447.37","3.9503"
963,"0.05632","1.82270","194.38",23603,-14,"432.24","3.2050"
964,"0.05642","1.82170","177.80",23526,2,"418.32","2.3600"
965,"0.05649","1.81610","161.20",23444,18,"406.69","1.4728"
966,"0.05652","1.80570","144.56",23359,33,"398.17","0.6208"
967,"0.05652","1.79090","127.89",23272,45,"393.33","-0.1371"
968,"0.05648","1.77150","111.18",23185,53,"392.47","-0.7356"
969,"0.05640","1.74760","94.44",23100,56,"395.58","-1.1380"
970,"0.05628","1.71930","77.67",23019,55,"402.38","-1.3119"
971,"0.05613","1.68660","60.87",22943,49,"412.28","-1.2570"
972,"0.05594","1.64960","44.03",22876,39,"424.45","-0.9824"
973,"0.05572","1.60820","27.17",22819,25,"437.85","-0.5337"
974,"0.05546","1.56270","10.29",22773,10,"451.25","0.0484"
975,"0.05516","1.51310","353.39",22740,-6,"463.43","0.6969"
976,"0.05482","1.45950","336.49",22721,-22,"473.23","1.3530"
977,"0.05445","1.40190","319.58",22718,-35,"479.71","1.9476"
978,"0.05405","1.34060","302.68",22729,-45,"482.28","2.4346"
979,"0.05360","1.27530","285.79",22756,-52,"480.76","2.7677"
980,"0.05312","1.20650","268.93",22798,-53,"475.41","2.9300"
981,"0.05260","1.13410","252.09",22853,-50,"466.86","2.9094"
982,"0.05205","1.05830","235.30",22922,-43,"456.05","2.7247"
983,"0.05145","0.97919","218.55",23001,-32,"444.10","2.4003"
984,"0.05082","0.89671","201.85",23088,-19,"432.16","1.9806"
985,"0.05015","0.81124","185.20",23182,-5,"421.31","1.5070"
986,"0.04944","0.72277","168.62",23280,10,"412.47","1.0364"
987,"0.04870","0.63132","152.09",23379,23,"406.31","0.6113"
988,"0.04792","0.53717","135.63",23476,34,"403.26","0.2758"
989,"0.04710","0.44031","119.24",23569,41,"403.49","0.0493"
990,"0.04624","0.34105","102.90",23655,45,"406.90","-0.0467"
991,"0.04535","0.23927","86.62",23732,45,"413.16","-0.0180"
992,"0.04442","0.13538","70.41",23797,42,"421.73","0.1256"
993,"0.04345","0.02926","54.25",23850,35,"431.87","0.3599"
994,"0.04245","0.07878","38.14",23887,26,"442.75","0.6637"
995,"0.04142","0.18876","22.08",23909,16,"453.46","1.0017"
996,"0.04035","0.30038","6.06",23915,4,"463.12","1.3424"
997,"0.03925","0.41363","350.10",23904,-7,"470.95","1.6499"
998,"0.03811","0.52833","334.17",23877,-17,"476.36","1.8921"
999,"0.03695","0.64419","318.29",23835,-25,"478.97","2.0372"
1000,"0.03576","0.76121","302.46",23778,-30,"478.69","2.0639"
1001,"0.03455",,"286.67",23709,-33,"475.70",
1002,"0.03332",,"270.94",23629,-33,"470.39",
1003,"0.03206",,"255.27",23541,-31,"463.34",
1004,"0.03079",,"239.68",23447,-27,"455.21",
1005,"0.02951",,"224.17",23350,-21,"446.71",
1006,"0.02822",,"208.78",23253,-14,"438.48",
1007,"0.02694",,"193.52",23158,-6,"431.06",
1008,"0.02565",,"178.43",23069,1,"424.88",
1009,"0.02438",,"163.54",22989,7,"420.18",
1010,"0.02314",,"148.90",22919,12,"417.06",
1011,"0.02193",,"134.56",22862,16,"415.50",
1012,"0.02077",,"120.56",22819,18,"415.32",
1013,"0.01967",,"106.98",22792,19,"416.31",
1014,"0.01866",,"93.84",22781,19,"418.21",
1015,"0.01775",,"81.21",22787,18,"420.73",
1016,"0.01696",,"69.10",22809,16,"423.66",
1017,"0.01633",,"57.51",22847,14,"426.82",
1018,"0.01588",,"46.37",22898,11,"430.10",
1019,"0.01561",,"35.57",22961,9,"433.46",
1020,"0.01556",,"24.96",23034,7,"436.90",
1021,"0.01571",,"14.37",23114,4,"440.45",
1022,"0.01608",,"3.60",23200,1,"444.14",
1023,"0.01663",,"352.52",23288,-2,"447.94",
1024,"0.01736",,"341.02",23377,-6,"451.77",
1025,"0.01824",,"329.05",23463,-9,"455.49",
1026,"0.01924",,"316.60",23544,-13,"458.86",
1027,"0.02035",,"303.67",23619,-17,"461.59",
1028,"0.02155",,"290.32",23686,-20,"463.38",
1029,"0.02281",,"276.57",23742,-23,"463.91",
1030,"0.02412",,"262.47",23788,-24,"462.95",
1031,"0.02546",,"248.06",23822,-24,"460.36",
1032,"0.02684",,"233.38",23843,-22,"456.14",
1033,"0.02823",,"218.45",23852,-18,"450.48",
1034,"0.02963",,"203.31",23848,-12,"443.71",
1035,"0.03103",,"187.97",23833,-4,"436.33",
1036,"0.03242",,"172.47",23806,4,"428.94",
1037,"0.03380",,"156.80",23769,13,"422.18",
1038,"0.03517",,"140.99",23722,22,"416.69",
1039,"0.03651",,"125.05",23667,30,"413.07",
1040,"0.03783",,"108.99",23605,36,"411.74",
1041,"0.03912",,"92.81",23537,39,"413.01",
1042,"0.04038",,"76.53",23465,39,"416.92",
1043,"0.04160",,"60.15",23390,36,"423.33",
1044,"0.04279",,"43.68",23314,30,"431.82",
1045,"0.04394",,"27.13",23238,20,"441.74",
1046,"0.04504",,"10.50",23163,8,"452.23",
1047,"0.04610",,"353.79",23091,-5,"462.28",
1048,"0.04712",,"337.02",23023,-18,"470.83",
1049,"0.04809",,"320.19",22961,-31,"476.88",
1050,"0.04901",,"303.30",22905,-41,"479.64",
1051,"0.04988",,"286.36",22856,-48,"478.62",
1052,"0.05070",,"269.38",22815,-51,"473.72",
1053,"0.05146",,"252.37",22784,-49,"465.27",
1054,"0.05218",,"235.32",22762,-43,"453.98",
1055,"0.05284",,"218.25",22750,-33,"440.90",
1056,"0.05345",,"201.16",22749,-19,"427.23",
1057,"0.05400",,"184.05",22759,-4,"414.23",
1058,"0.05451",,"166.94",22781,12,"403.08",
1059,"0.05495",,"149.83",22814,28,"394.80",
1060,"0.05534",,"132.73",22858,41,"390.12",
1061,"0.05568",,"115.64",22913,50,"389.51",
1062,"0.05597",,"98.56",22978,55,"393.12",
1063,"0.05620",,"81.51",23052,56,"400.77",
1064,"0.05638",,"64.49",23135,51,"411.96",
1065,"0.05650",,"47.51",23225,42,"425.90",
1066,"0.05657",,"30.56",23320,29,"441.51",
1067,"0.05660",,"13.65",23419,13,"457.51",
1068,"0.05657",,"356.79",23520,-3,"472.56",
1069,"0.05649",,"339.97",23620,-19,"485.33",
1070,"0.05636",,"323.20",23718,-34,"494.68",
1071,"0.05619",,"306.48",23812,-45,"499.82",
1072,"0.05597",,"289.79",23898,-53,"500.35",
1073,"0.05570",,"273.15",23976,-56,"496.35",
1074,"0.05539",,"256.55",24043,-54,"488.33",
1075,"0.05504",,"239.98",24096,-48,"477.17",
1076,"0.05464",,"223.44",24134,-38,"463.99",
1077,"0.05420",,"206.91",24157,-25,"450.04",
1078,"0.05373",,"190.41",24161,-10,"436.53",
1079,"0.05321",,"173.91",24147,6,"424.54",
1080,"0.05266",,"157.41",24115,20,"414.96",
1081,"0.05207",,"140.90",24063,33,"408.42",
1082,"0.05144",,"124.38",23993,42,"405.27",
1083,"0.05078",,"107.82",23906,48,"405.59",
1084,"0.05009",,"91.24",23802,50,"409.20",
1085,"0.04936",,"74.61",23684,48,"415.66",
1086,"0.04860",,"57.93",23554,41,"424.29",
1087,"0.04781",,"41.20",23416,31,"434.24",
1088,"0.04700",,"24.40",23271,19,"444.53",
1089,"0.04615",,"7.54",23124,6,"454.12",
1090,"0.04528",,"350.61",22979,-7,"462.03",
1091,"0.04438",,"333.61",22839,-20,"467.44",
1092,"0.04345",,"316.55",22708,-30,"469.80",
1093,"0.04250",,"299.42",22591,-37,"468.86",
1094,"0.04152",,"282.24",22491,-41,"464.75",
1095,"0.04052",,"265.01",22411,-40,"457.93",
1096,"0.03950",,"247.74",22353,-37,"449.13",
1097,"0.03846",,"230.45",22320,-30,"439.25",
1098,"0.03739",,"213.15",22313,-20,"429.28",
1099,"0.03630",,"195.85",22332,-10,"420.14",
1100,"0.03519",,"178.56",22377,1,"412.62",
1101,"0.03406",,"161.31",22447,11,"407.34",
1102,"0.03290",,"144.09",22539,19,"404.66",
1103,"0.03173",,"126.92",22651,25,"404.72",
1104,"0.03054",,"109.82",22780,29,"407.41",
1105,"0.02933",,"92.78",22921,29,"412.42",
1106,"0.02811",,"75.82",23072,27,"419.25",
1107,"0.02686",,"58.93",23228,23,"427.29",
1108,"0.02560",,"42.12",23384,17,"435.85",
1109,"0.02432",,"25.38",23537,10,"444.23",
1110,"0.02303",,"8.71",23682,3,"451.78",
1111,"0.02172",,"352.12",23817,-3,"458.00",
1112,"0.02039",,"335.58",23938,-8,"462.52",
1113,"0.01905",,"319.11",24043,-12,"465.18",
1114,"0.01770",,"302.70",24130,-15,"466.00",
1115,"0.01634",,"286.34",24196,-16,"465.20",
1116,"0.01496",,"270.03",24241,-15,"463.10",
1117,"0.01357",,"253.78",24265,-13,"460.13",
1118,"0.01218",,"237.61",24267,-10,"456.71",
1119,"0.01077",,"221.52",24248,-7,"453.27",
1120,"0.00936",,"205.58",24209,-4,"450.14",
1121,"0.00794",,"189.84",24152,-1,"447.56",
1122,"0.00653",,"174.49",24078,1,"445.64",
1123,"0.00511",,"159.84",23989,2,"444.36",
1124,"0.00370",,"146.77",23889,2,"443.59",
1125,"0.00233",,"138.16",23778,2,"443.13",
1126,"0.00113",,"149.49",23661,1,"442.70",
1127,"0.00112",,"212.00",23540,-1,"442.04",
1128,"0.00232",,"223.43",23417,-2,"440.90",
1129,"0.00368",,"214.60",23297,-2,"439.14",
1130,"0.00508",,"201.15",23180,-2,"436.72",
1131,"0.00648",,"186.00",23071,-1,"433.71",
1132,"0.00788",,"170.02",22970,1,"430.35",
1133,"0.00927",,"153.57",22881,4,"426.94",
1134,"0.01065",,"136.82",22803,7,"423.88",
1135,"0.01202",,"119.86",22740,10,"421.55",
1136,"0.01337",,"102.76",22690,13,"420.32",
1137,"0.01470",,"85.55",22655,15,"420.47",
1138,"0.01602",,"68.26",22635,15,"422.13",
1139,"0.01731",,"50.91",22630,13,"425.29",
1140,"0.01858",,"33.52",22638,10,"429.76",
1141,"0.01983",,"16.11",22661,6,"435.18",
1142,"0.02104",,"358.67",22695,0,"441.05",
1143,"0.02224",,"341.23",22741,-7,"446.76",
1144,"0.02340",,"323.78",22797,-14,"451.68",
1145,"0.02453",,"306.34",22862,-20,"455.22",
1146,"0.02562",,"288.91",22934,-24,"456.92",
1147,"0.02668",,"271.49",23012,-27,"456.51",
1148,"0.02771",,"254.08",23095,-27,"453.95",
1149,"0.02869",,"236.70",23181,-24,"449.47",
1150,"0.02964",,"219.34",23268,-19,"443.51",
1151,"0.03054",,"202.00",23356,-11,"436.72",
1152,"0.03141",,"184.68",23443,-3,"429.84",
1153,"0.03223",,"167.38",23527,7,"423.65",
1154,"0.03300",,"150.10",23608,16,"418.87",
1155,"0.03373",,"132.84",23683,25,"416.09",
1156,"0.03442",,"115.60",23751,31,"415.73",
1157,"0.03506",,"98.37",23811,35,"417.99",
1158,"0.03564",,"81.15",23863,35,"422.83",
1159,"0.03618",,"63.95",23903,33,"429.98",
1160,"0.03668",,"46.74",23933,27,"438.89",
1161,"0.03712",,"29.54",23950,18,"448.83",
1162,"0.03751",,"12.33",23954,8,"458.92",
1163,"0.03785",,"355.11",23945,-3,"468.18",
1164,"0.03814",,"337.88",23922,-14,"475.66",
1165,"0.03838",,"320.62",23885,-24,"480.55",
1166,"0.03858",,"303.34",23835,-32,"482.26",
1167,"0.03872",,"286.02",23771,-37,"480.51",
1168,"0.03881",,"268.66",23696,-39,"475.39",
1169,"0.03885",,"251.25",23611,-37,"467.32",
1170,"0.03884",,"233.79",23517,-31,"457.03",
1171,"0.03879",,"216.27",23415,-23,"445.48",
1172,"0.03869",,"198.69",23310,-12,"433.70",
1173,"0.03854",,"181.04",23202,-1,"422.73",
1174,"0.03834",,"163.32",23096,11,"413.50",
1175,"0.03811",,"145.54",22993,22,"406.76",
1176,"0.03782",,"127.68",22898,30,"403.00",
1177,"0.03750",,"109.76",22812,35,"402.45",
1178,"0.03713",,"91.78",22740,37,"405.07",
1179,"0.03673",,"73.74",22683,35,"410.51",
1180,"0.03629",,"55.64",22643,30,"418.20",
1181,"0.03581",,"37.51",22623,22,"427.34",
1182,"0.03529",,"19.34",22624,12,"436.99",
1183,"0.03475",,"1.14",22645,1,"446.17",
1184,"0.03417",,"342.92",22687,-10,"453.97",
1185,"0.03356",,"324.70",22749,-19,"459.63",
1186,"0.03293",,"306.47",22829,-26,"462.67",
1187,"0.03227",,"288.25",22925,-31,"462.93",
1188,"0.03159",,"270.04",23035,-32,"460.59",
1189,"0.03089",,"251.84",23154,-29,"456.11",
1190,"0.03017",,"233.64",23280,-24,"450.16",
1191,"0.02944",,"215.46",23409,-17,"443.56",
1192,"0.02869",,"197.28",23537,-9,"437.13",
1193,"0.02793",,"179.09",23661,0,"431.60",
1194,"0.02717",,"160.88",23775,9,"427.59",
1195,"0.02640",,"142.64",23878,16,"425.50",
1196,"0.02563",,"124.36",23966,21,"425.52",
1197,"0.02486",,"106.03",24037,24,"427.61",
1198,"0.02410",,"87.61",24088,24,"431.54",
1199,"0.02335",,"69.10",24119,22,"436.86",
1200,"0.02262",,"50.47",24127,17,"443.00",
1201,"0.02190",,"31.71",24113,12,"449.29",
1202,"0.02120",,"12.80",24076,5,"455.03",
1203,"0.02053",,"353.71",24019,-2,"459.57",
1204,"0.01989",,"334.43",23941,-9,"462.38",
1205,"0.01929",,"314.94",23846,-14,"463.10",
1206,"0.01873",,"295.24",23735,-17,"461.61",
1207,"0.01822",,"275.31",23612,-18,"458.03",
1208,"0.01777",,"255.16",23480,-17,"452.70",
1209,"0.01737",,"234.78",23342,-14,"446.15",
1210,"0.01703",,"214.20",23203,-10,"439.01",
1211,"0.01676",,"193.43",23067,-4,"432.00",
1212,"0.01656",,"172.50",22937,2,"425.77",
1213,"0.01644",,"151.44",22817,8,"420.90",
1214,"0.01639",,"130.30",22712,12,"417.81",
1215,"0.01641",,"109.13",22623,16,"416.73",
1216,"0.01651",,"87.96",22554,16,"417.68",
1217,"0.01668",,"66.85",22507,15,"420.48",
1218,"0.01691",,"45.83",22482,12,"424.76",
1219,"0.01721",,"24.94",22480,7,"430.00",
1220,"0.01756",,"4.22",22501,1,"435.55",
1221,"0.01797",,"343.68",22544,-5,"440.77",
1222,"0.01843",,"323.35",22608,-11,"445.03",
1223,"0.01892",,"303.23",22689,-16,"447.86",
1224,"0.01946",,"283.33",22786,-19,"448.94",
1225,"0.02003",,"263.65",22895,-20,"448.19",
1226,"0.02062",,"244.20",23014,-19,"445.78",
1227,"0.02124",,"224.96",23139,-15,"442.05",
1228,"0.02188",,"205.92",23267,-10,"437.55",
1229,"0.02253",,"187.08",23395,-3,"432.88",
1230,"0.02319",,"168.42",23519,5,"428.70",
1231,"0.02386",,"149.93",23636,12,"425.60",
1232,"0.02453",,"131.60",23746,18,"424.07",
1233,"0.02521",,"113.40",23844,23,"424.44",
1234,"0.02588",,"95.34",23931,26,"426.87",
1235,"0.02655",,"77.38",24003,26,"431.30",
1236,"0.02721",,"59.52",24061,23,"437.47",
1237,"0.02787",,"41.74",24103,19,"444.94",
1238,"0.02851",,"24.04",24130,12,"453.08",
1239,"0.02915",,"6.40",24141,3,"461.16",
1240,"0.02976",,"348.80",24136,-6,"468.39",
1241,"0.03036",,"331.24",24116,-15,"474.01",
1242,"0.03095",,"313.71",24082,-22,"477.36",
1243,"0.03151",,"296.20",24033,-28,"478.00",
1244,"0.03205",,"278.70",23972,-32,"475.73",
1245,"0.03256",,"261.20",23900,-32,"470.63",
1246,"0.03306",,"243.69",23817,-30,"463.10",
1247,"0.03352",,"226.17",23726,-24,"453.77",
1248,"0.03396",,"208.63",23626,-16,"443.43",
1249,"0.03436",,"191.07",23521,-7,"433.00",
1250,"0.03474",,"173.48",23412,4,"423.36",
1251,"0.03508",,"155.86",23300,14,"415.33",
1252,"0.03539",,"138.21",23187,24,"409.57",
1253,"0.03566",,"120.52",23075,31,"406.52",
1254,"0.03590",,"102.79",22966,35,"406.38",
1255,"0.03610",,"85.02",22862,36,"409.12",
1256,"0.03626",,"67.21",22765,33,"414.42",
1257,"0.03638",,"49.36",22677,28,"421.73",
1258,"0.03646",,"31.48",22600,19,"430.30",
1259,"0.03649",,"13.56",22535,9,"439.22",
1260,"0.03649",,"355.62",22485,-3,"447.53",
1261,"0.03644",,"337.65",22451,-14,"454.33",
1262,"0.03634",,"319.66",22434,-24,"458.85",
1263,"0.03621",,"301.66",22435,-31,"460.60",
1264,"0.03602",,"283.67",22455,-35,"459.42",
1265,"0.03579",,"265.67",22494,-36,"455.49",
1266,"0.03552",,"247.69",22552,-33,"449.33",
1267,"0.03519",,"229.73",22629,-27,"441.71",
1268,"0.03482",,"211.80",22722,-18,"433.51",
1269,"0.03441",,"193.91",22831,-8,"425.70",
1270,"0.03394",,"176.06",22954,2,"419.13",
1271,"0.03344",,"158.26",23088,12,"414.51",
1272,"0.03288",,"140.50",23230,21,"412.34",
1273,"0.03228",,"122.80",23377,27,"412.86",
1274,"0.03163",,"105.15",23526,31,"416.06",
1275,"0.03094",,"87.55",23673,31,"421.67",
1276,"0.03021",,"70.00",23815,28,"429.23",
1277,"0.02943",,"52.49",23949,23,"438.06",
1278,"0.02860",,"35.00",24071,16,"447.39",
1279,"0.02774",,"17.54",24177,8,"456.40",
1280,"0.02684",,"0.09",24267,0,"464.30",
1281,"0.02590",,"342.64",24336,-8,"470.41",
1282,"0.02492",,"325.17",24384,-14,"474.25",
1283,"0.02390",,"307.66",24408,-19,"475.60",
1284,"0.02286",,"290.10",24408,-21,"474.46",
1285,"0.02177",,"272.47",24383,-22,"471.11",
1286,"0.02066",,"254.73",24334,-20,"466.00",
1287,"0.01952",,"236.86",24261,-16,"459.74",
1288,"0.01836",,"218.83",24166,-12,"452.99",
1289,"0.01717",,"200.59",24050,-6,"446.38",
1290,"0.01597",,"182.09",23915,-1,"440.45",
1291,"0.01475",,"163.28",23766,4,"435.62",
1292,"0.01353",,"144.08",23605,8,"432.14",
1293,"0.01230",,"124.36",23436,10,"430.06",
1294,"0.01108",,"104.00",23264,11,"429.27",
1295,"0.00989",,"82.78",23094,10,"429.50",
1296,"0.00874",,"60.40",22929,8,"430.39",
1297,"0.00765",,"36.46",22774,5,"431.49",
1298,"0.00668",,"10.42",22635,1,"432.37",
1299,"0.00590",,"341.72",22514,-2,"432.69",
1300,"0.00538",,"310.18",22416,-4,"432.19",
1301,"0.00523",,"276.74",22342,-5,"430.83",
1302,"0.00548",,"243.50",22296,-5,"428.71",
1303,"0.00607",,"212.41",22278,-3,"426.13",
1304,"0.00693",,"184.14",22288,0,"423.47",
1305,"0.00797",,"158.39",22326,3,"421.22",
1306,"0.00912",,"134.62",22389,6,"419.85",
1307,"0.01034",,"112.29",22476,10,"419.75",
1308,"0.01161",,"91.03",22584,12,"421.19",
1309,"0.01291",,"70.59",22709,12,"424.27",
1310,"0.01423",,"50.77",22847,11,"428.92",
1311,"0.01556",,"31.44",22993,8,"434.85",
1312,"0.01689",,"12.52",23144,4,"441.61",
1313,"0.01822",,"353.92",23295,-2,"448.62",
1314,"0.01954",,"335.61",23443,-8,"455.21",
1315,"0.02085",,"317.53",23582,-14,"460.73",
1316,"0.02215",,"299.64",23711,-19,"464.57",
1317,"0.02343",,"281.93",23826,-23,"466.31",
1318,"0.02470",,"264.37",23925,-25,"465.70",
1319,"0.02595",,"246.92",24007,-24,"462.77",
1320,"0.02718",,"229.58",24069,-21,"457.77",
1321,"0.02838",,"212.32",24111,-15,"451.19",
1322,"0.02956",,"195.13",24133,-8,"443.70",
1323,"0.03072",,"177.98",24136,1,"436.04",
1324,"0.03186",,"160.88",24120,10,"429.01",
1325,"0.03297",,"143.80",24085,19,"423.33",
1326,"0.03405",,"126.73",24035,27,"419.59",
1327,"0.03511",,"109.67",23970,33,"418.23",
1328,"0.03614",,"92.61",23892,36,"419.48",
1329,"0.03713",,"75.53",23805,36,"423.31",
1330,"0.03810",,"58.44",23709,32,"429.47",
1331,"0.03904",,"41.32",23608,26,"437.46",
1332,"0.03995",,"24.19",23505,16,"446.56",
1333,"0.04083",,"7.02",23401,5,"455.88",
1334,"0.04168",,"349.83",23299,-7,"464.43",
1335,"0.04250",,"332.61",23201,-20,"471.24",
1336,"0.04329",,"315.37",23110,-30,"475.45",
1337,"0.04404",,"298.11",23026,-39,"476.43",
1338,"0.04477",,"280.82",22952,-44,"473.87",
1339,"0.04546",,"263.52",22889,-45,"467.86",
1340,"0.04612",,"246.21",22837,-42,"458.86",
1341,"0.04675",,"228.90",22798,-35,"447.63",
1342,"0.04735",,"211.58",22771,-25,"435.22",
1343,"0.04792",,"194.27",22757,-12,"422.75",
1344,"0.04845",,"176.96",22756,3,"411.35",
1345,"0.04895",,"159.67",22766,17,"402.06",
1346,"0.04942",,"142.40",22789,30,"395.69",
1347,"0.04985",,"125.14",22823,41,"392.84",
1348,"0.05025",,"107.91",22867,48,"393.81",
1349,"0.05062",,"90.71",22920,51,"398.60",
1350,"0.05095",,"73.54",22982,49,"406.95",
1351,"0.05125",,"56.41",23050,43,"418.26",
1352,"0.05152",,"39.30",23124,33,"431.70",
1353,"0.05174",,"22.24",23202,20,"446.18",
1354,"0.05194",,"5.21",23284,5,"460.50",
1355,"0.05209",,"348.21",23366,-11,"473.39",
1356,"0.05222",,"331.26",23449,-25,"483.69",
1357,"0.05230",,"314.34",23529,-37,"490.46",
1358,"0.05234",,"297.46",23607,-46,"493.10",
1359,"0.05235",,"280.60",23679,-51,"491.41",
1360,"0.05232",,"263.78",23745,-52,"485.65",
1361,"0.05225",,"246.99",23802,-48,"476.45",
1362,"0.05214",,"230.22",23851,-40,"464.78",
1363,"0.05199",,"213.47",23888,-29,"451.77",
1364,"0.05180",,"196.73",23913,-15,"438.64",
1365,"0.05157",,"180.00",23925,0,"426.52",
1366,"0.05130",,"163.28",23923,15,"416.41",
1367,"0.05098",,"146.56",23907,28,"409.08",
1368,"0.05062",,"129.82",23877,39,"405.03",
1369,"0.05022",,"113.07",23831,46,"404.48",
1370,"0.04977",,"96.30",23772,49,"407.39",
1371,"0.04928",,"79.51",23699,48,"413.41",
1372,"0.04875",,"62.67",23615,43,"421.97",
1373,"0.04817",,"45.80",23519,35,"432.23",
1374,"0.04754",,"28.89",23416,23,"443.22",
1375,"0.04688",,"11.92",23306,10,"453.85",
1376,"0.04616",,"354.90",23193,-4,"463.04",
1377,"0.04540",,"337.83",23079,-17,"469.84",
1378,"0.04460",,"320.70",22968,-28,"473.55",
1379,"0.04375",,"303.52",22863,-36,"473.78",
1380,"0.04285",,"286.30",22767,-41,"470.54",
1381,"0.04191",,"269.02",22683,-42,"464.18",
1382,"0.04093",,"251.72",22615,-39,"455.43",
1383,"0.03990",,"234.38",22564,-32,"445.20",
1384,"0.03884",,"217.04",22534,-23,"434.53",
1385,"0.03773",,"199.69",22526,-13,"424.45",
1386,"0.03658",,"182.35",22539,-2,"415.86",
1387,"0.03538",,"165.04",22576,9,"409.47",
1388,"0.03415",,"147.77",22635,18,"405.73",
1389,"0.03289",,"130.57",22715,25,"404.85",
1390,"0.03158",,"113.44",22814,29,"406.77",
1391,"0.03024",,"96.39",22929,30,"411.18",
1392,"0.02887",,"79.46",23058,28,"417.59",
1393,"0.02746",,"62.64",23197,24,"425.36",
1394,"0.02603",,"45.96",23341,19,"433.77",
1395,"0.02457",,"29.43",23488,12,"442.09",
1396,"0.02308",,"13.07",23633,5,"449.67",
1397,"0.02158",,"356.90",23771,-1,"455.98",
1398,"0.02005",,"340.93",23900,-7,"460.68",
1399,"0.01851",,"325.22",24016,-11,"463.64",
1400,"0.01695",,"309.80",24115,-13,"464.89",
1401,"0.01540",,"294.75",24196,-14,"464.67",
1402,"0.01384",,"280.16",24255,-14,"463.32",
1403,"0.01230",,"266.19",24292,-12,"461.21",
1404,"0.01078",,"253.07",24305,-10,"458.75",
1405,"0.00931",,"241.18",24294,-8,"456.27",
1406,"0.00793",,"231.09",24259,-6,"454.01",
1407,"0.00670",,"223.67",24201,-5,"452.08",
1408,"0.00572",,"219.95",24122,-4,"450.49",
1409,"0.00515",,"220.28",24022,-3,"449.12",
1410,"0.00513",,"222.65",23905,-3,"447.77",
1411,"0.00566",,"223.14",23773,-4,"446.20",
1412,"0.00661",,"219.54",23629,-4,"444.17",
1413,"0.00782",,"212.06",23478,-4,"441.51",
1414,"0.00919",,"201.75",23322,-3,"438.12",
1415,"0.01064",,"189.49",23167,-2,"434.05",
1416,"0.01215",,"175.90",23016,1,"429.48",
1417,"0.01369",,"161.37",22873,4,"424.74",
1418,"0.01523",,"146.16",22741,8,"420.23",
1419,"0.01678",,"130.44",22625,13,"416.43",
1420,"0.01832",,"114.35",22527,17,"413.81",
1421,"0.01986",,"97.96",22450,20,"412.77",
1422,"0.02137",,"81.34",22395,21,"413.59",
1423,"0.02287",,"64.55",22363,21,"416.39",
1424,"0.02434",,"47.63",22355,18,"421.08",
1425,"0.02579",,"30.62",22371,13,"427.38",
1426,"0.02721",,"13.54",22409,6,"434.80",
1427,"0.02860",,"356.43",22468,-2,"442.67",
1428,"0.02996",,"339.30",22546,-11,"450.23",
1429,"0.03128",,"322.16",22641,-19,"456.68",
1430,"0.03257",,"305.04",22749,-27,"461.32",
1431,"0.03382",,"287.94",22868,-32,"463.59",
1432,"0.03504",,"270.88",22995,-35,"463.17",
